Landmark 15: x=0.7539992928504944, y=0.3681897521018982, z=-0.00831451453268528
Landmark 16: x=0.735442042350769, y=0.3392948806285858, z=-0.03128396347165108
Landmark 17: x=0.8158362507820129, y=0.4980442225933075, z=0.017434900626540184
Landmark 18: x=0.8243052363395691, y=0.429652601480484, z=0.005562487058341503
Landmark 19: x=0.816624641418457, y=0.39050453901290894, z=-0.01418888010084629
Landmark 20: x=0.8001814484596252, y=0.36251330375671387, z=-0.02926410548388958

Landmark 0: x=0.7787103056907654, y=0.7096680998802185, z=2.4772119910920765e-09
Landmark 1: x=0.7002238631248474, y=0.6633030772209167, z=-0.022096343338489532
Landmark 2: x=0.6497700214385986, y=0.5909130573272705, z=-0.02615397609770298
Landmark 3: x=0.6316220760345459, y=0.5124571919441223, z=-0.03481701388955116
Landmark 4: x=0.6380903720855713, y=0.4484243094921112, z=-0.04412180557847023
Landmark 5: x=0.6910359263420105, y=0.5018754601478577, z=0.04754104092717171
Landmark 6: x=0.6746547818183899, y=0.4311615228652954, z=0.04393981397151947
Landmark 7: x=0.6621148586273193, y=0.39367592334747314, z=0.02940664440393448
Landmark 8: x=0.6494603157043457, y=0.3637514114379883, z=0.017128190025687218
Landmark 9: x=0.7321473956108093, y=0.48805880546569824, z=0.04267776757478714
Landmark 10: x=0.7228378057479858, y=0.41141924262046814, z=0.03903881460428238
Landmark 11: x=0.7111485600471497, y=0.3708227276802063, z=0.009458043612539768
Landmark 12: x=0.6951842904090881, y=0.34551408886909485, z=-0.012161984108388424
Landmark 13: x=0.7730772495269775, y=0.488603413105011, z=0.029627300798892975
Landmark 14: x=0.768147349357605, y=0.4134429693222046, z=0.018284915015101433
Landmark 15: x=0.7557212114334106, y=0.3696855306625366, z=-0.015345891937613487
Landmark 16: x=0.7373819351196289, y=0.3409781754016876, z=-0.03845326229929924
Landmark 17: x=0.8171617984771729, y=0.5003436207771301, z=0.012692663818597794
Landmark 18: x=0.8254071474075317, y=0.4322090744972229, z=-0.000859661609865725
Landmark 19: x=0.8171024918556213, y=0.3924259841442108, z=-0.021404212340712547
Landmark 20: x=0.80018550157547, y=0.36333543062210083, z=-0.036901988089084625

Landmark 0: x=0.7794730067253113, y=0.7084794044494629, z=2.7086466403147824e-09
Landmark 1: x=0.7002438306808472, y=0.6620124578475952, z=-0.02257000282406807
Landmark 2: x=0.6499007344245911, y=0.5894489288330078, z=-0.026542972773313522
Landmark 3: x=0.6316106915473938, y=0.5111681222915649, z=-0.035063307732343674
Landmark 4: x=0.6361495852470398, y=0.4470314681529999, z=-0.04420558363199234
Landmark 5: x=0.6912252902984619, y=0.5022449493408203, z=0.049168188124895096
Landmark 6: x=0.6756725907325745, y=0.42918282747268677, z=0.04656108468770981
Landmark 7: x=0.6635343432426453, y=0.3902387320995331, z=0.03220505267381668
Landmark 8: x=0.6514691114425659, y=0.35847580432891846, z=0.01986229419708252
Landmark 9: x=0.7326189875602722, y=0.488405704498291, z=0.045066215097904205
Landmark 10: x=0.7230678200721741, y=0.41063493490219116, z=0.04272586479783058
Landmark 11: x=0.7110311985015869, y=0.36857908964157104, z=0.01333724893629551
